Id,Name,Description,Condition,Reward
1,👤  Личность,"Заполнить анкету первый раз
",1,50
2,👮‍♀️🕵️‍♂️👨‍🍳🧑‍💻Сплит,Заполнить анкету 25  раз,25,100
3,👔👖Переоделся,Заполнить анкету 10 раз,10,50
4,🧊Ледокол,Пройти первый психологический тест,1,30
5,🎙 Интервью,Пройти 5 психологических тестов,5,70
6,📚Биография.,Пройти 10 психологический тестов,10,100
7,❄️🥶Холод,Отсеять 10 анкет,10,20
8,❄️🌨🥶Мороз,Отсеять 50 анкет,50,50
9,🌨❄️☃️🥶Дубарь,Отсеять 100 анкет,100,100
10,🌨❄️☃️🥶🧊Северный полюс,Отсеять 250 анкет,250,250
11,⚽️Футбол,Отсеять 10 людям которые тебя лайкнули.,10,30
12,⚽️🏃1 ЛИГА,Отсеять 50 человек которые тебя лайкнули,50,100
13,🥅⚽️🏃Тренер Динамо,"Отказать 200 людям которые тебя лайкнули.",200,200
14,💓Симпатия,"Получить первый лайк
",1,20
15,💖💝💘 Обожание,"Получить 100 лайков",100,150
16,🧲❤️‍🔥Любовный магнит.,"Получить 50 лайков",50,70
17,💧Как две капли воды.,"Найти первого человека с высокой схожестью.
",1,50
18,🕺👯‍♀️🕺Братья по разуму,"Найти 10 людей с высокой схожестью",10,100
19,👨👩👱‍♀️👨‍🦰Клоны,Найти 100 человек с высокой схожестью,100,200
20,👹Имя нам легион,Найти 200 человек с высокой схожестью.,200,300
21,🛣По изведанной тропе        ,Зарегистрироваться по реферальной ссылке,1,50
22,🫵🚷Лихач,Получить первый донос,1,30
23,👨‍💻🧠Интедектуальнное вложение,"Написать идею о развитие бота
",1,50
24,🧠💰Интелектуальный капитал,Написать 5 идей о развитие бота,5,200
25,✉️Дилер.,"Пригласите 6 человек через QR код
",6,100
26, Интерес ,"Заходить в бота на протяжении 5 дней подряд
",5,50
27,Посещаемость ,Заходить в бота на протяжении 10 дней подряд,10,100
28,Привычка,"Заходить в бота на протяжении 20 дней подряд
",20,250
