Text,Value,Question Id,Tags
а) Да,0,1,
б) Иногда,1,1,
в) Нет,2,1,
а) Да,0,2,Злопамятность
б) Иногда,1,2,
в) Нет,2,2,Отходчевость
а) Да,0,3,Беспокойство
б) Иногда,1,3,
в) Нет,2,3,Невозмутимость
а) Да,0,4,
б) Иногда,1,4,
в) Нет,2,4,
а) Да,0,5,Рассеянность
б) Иногда,1,5,
в) Нет,2,5,Сосредоточенность
а) Да,0,6,Саморефлексия
б) Иногда,1,6,
в) Нет,2,6,
а) Да,0,7,Спонтанность
б) Иногда,1,7,
в) Нет,2,7,Предусмотрительность
а) Да,0,8,Кошмары
б) Иногда,1,8,
в) Нет,2,8,
а) Да,0,9,
б) Иногда,1,9,
в) Нет,2,9,Самоувеенность
а) Да,0,10,Эмоциональность
б) Иногда,1,10,
в) Нет,2,10,Уравновешенность
а) Да,0,11,
б) Иногда,1,11,
в) Нет,2,11,
а) Да,0,12,Вспыльчивось
б) Иногда,1,12,
в) Нет,2,12,Рассудительность
а) Да,0,13,
б) Иногда,1,13,
в) Нет,2,13,
а) Да,0,14,
б) Иногда,1,14,
в) Нет,2,14,
а) Да,2,15,Самодисциплина
б) Иногда,1,15,
в) Нет,0,15,
а) Да,2,16,Самодисциплина
б) Иногда,1,16,
в) Нет,0,16,Прокрастинация
а) Да,2,17,Непредвзятость
б) Иногда,1,17,
в) Нет,0,17,
а) Да,2,18,Самодисциплина
б) Иногда,1,18,
в) Нет,0,18,
а) Да,2,19,
б) Иногда,1,19,
в) Нет,0,19,
а) Да,2,20,
б) Иногда,1,20,
в) Нет,0,20,
а) Да,2,21,
б) Иногда,1,21,
в) Нет,0,21,
а) Да,2,22,Решительность
б) Иногда,1,22,
в) Нет,0,22,
а) Да,2,23,
б) Иногда,1,23,
в) Нет,0,23,
а) Да,2,24,Надёжный
б) Иногда,1,24,
в) Нет,0,24,Ненадёжный
а) Да,2,25,Авантюризм
б) Иногда,1,25,
в) Нет,0,25,
а) Да,2,26,Дисциплинированность
б) Иногда,1,26,
в) Нет,0,26,
а) Да,2,27,Ответственность
б) Иногда,1,27,
в) Нет,0,27,
а) Да,2,28,
б) Иногда,1,28,
в) Нет,0,28,
а) Да,2,29,Компромисс
б) Иногда,1,29,
в) Нет,0,29,Неуступчивость
Не знаю,0,30,
"Нет, никогда",1,30,
Иногда,2,30,
Часто,3,30,
Почти всегда,4,30,
"Да, всегда",5,30,
Не знаю,0,31,
"Нет, никогда",1,31,
Иногда,2,31,
Часто,3,31,
Почти всегда,4,31,
"Да, всегда",5,31,
Не знаю,1,32,
"Нет, никогда",0,32,
Иногда,0,32,
Часто,0,32,
Почти всегда,0,32,
"Да, всегда",0,32,Мыслитель
Не знаю,0,33,
"Нет, никогда",1,33,
Иногда,2,33,
Часто,3,33,
Почти всегда,4,33,
"Да, всегда",5,33,
Не знаю,0,34,
"Нет, никогда",1,34,
Иногда,2,34,
Часто,3,34,
Почти всегда,4,34,
"Да, всегда",5,34,
Не знаю,0,35,
"Нет, никогда",1,35,
Иногда,2,35,
Часто,3,35,
Почти всегда,4,35,
"Да, всегда",5,35,
Не знаю,0,36,
"Нет, никогда",1,36,
Иногда,2,36,
Часто,3,36,
Почти всегда,4,36,
"Да, всегда",5,36,
Не знаю,0,37,
"Нет, никогда",1,37,
Иногда,2,37,
Часто,3,37,
Почти всегда,4,37,
"Да, всегда",5,37,
Не знаю,1,38,
"Нет, никогда",0,38,
Иногда,0,38,
Часто,0,38,
Почти всегда,0,38,
"Да, всегда",0,38,Синтементалность
Не знаю,0,39,
"Нет, никогда",1,39,
Иногда,2,39,
Часто,3,39,
Почти всегда,4,39,
"Да, всегда",5,39,
Не знаю,1,40,
"Нет, никогда",0,40,
Иногда,0,40,
Часто,0,40,
Почти всегда,0,40,
"Да, всегда",1,40,
Не знаю,0,41,
"Нет, никогда",1,41,
Иногда,2,41,
Часто,3,41,
Почти всегда,4,41,
"Да, всегда",5,41,
Не знаю,1,42,
"Нет, никогда",0,42,
Иногда,0,42,
Часто,0,42,
Почти всегда,0,42,
"Да, всегда",1,42,
Не знаю,0,43,
"Нет, никогда",1,43,
Иногда,2,43,
Часто,3,43,
Почти всегда,4,43,
"Да, всегда",5,43,Жестокость
Не знаю,0,44,
"Нет, никогда",0,44,
Иногда,0,44,
Часто,0,44,
Почти всегда,0,44,
"Да, всегда",1,44,
Не знаю,0,45,
"Нет, никогда",1,45,
Иногда,2,45,
Часто,3,45,
Почти всегда,4,45,
"Да, всегда",5,45,
Не знаю,0,46,
"Нет, никогда",1,46,
Иногда,2,46,
Часто,3,46,
Почти всегда,4,46,
"Да, всегда",5,46,
Не знаю,0,47,
"Нет, никогда",1,47,
Иногда,2,47,
Часто,3,47,
Почти всегда,4,47,
"Да, всегда",5,47,
Не знаю,0,48,
"Нет, никогда",1,48,
Иногда,2,48,
Часто,3,48,
Почти всегда,4,48,
"Да, всегда",5,48,Наблюдательность
Не знаю,0,49,
"Нет, никогда",1,49,
Иногда,2,49,
Часто,3,49,
Почти всегда,4,49,
"Да, всегда",5,49,
Не знаю,0,50,
"Нет, никогда",1,50,
Иногда,2,50,
Часто,3,50,
Почти всегда,4,50,
"Да, всегда",5,50,Наблюдателность
Не знаю,0,51,
"Нет, никогда",1,51,
Иногда,2,51,
Часто,3,51,
Почти всегда,4,51,
"Да, всегда",5,51,Любитель животных
Не знаю,0,52,
"Нет, никогда",1,52,
Иногда,2,52,
Часто,3,52,
Почти всегда,4,52,
"Да, всегда",5,52,
Не знаю,0,53,
"Нет, никогда",1,53,
Иногда,2,53,
Часто,3,53,
Почти всегда,4,53,
"Да, всегда",5,53,Гадалка
Не знаю,0,54,
"Нет, никогда",1,54,
Иногда,2,54,
Часто,3,54,
Почти всегда,4,54,
"Да, всегда",5,54,
Не знаю,0,55,
"Нет, никогда",1,55,
Иногда,2,55,
Часто,3,55,
Почти всегда,4,55,
"Да, всегда",5,55,
Не знаю,0,56,
"Нет, никогда",0,56,
Иногда,0,56,
Часто,0,56,
Почти всегда,0,56,
"Да, всегда",1,56,
Не знаю,1,57,
"Нет, никогда",0,57,
Иногда,0,57,
Часто,0,57,
Почти всегда,0,57,
"Да, всегда",0,57,
Не знаю,0,58,
"Нет, никогда",1,58,
Иногда,2,58,
Часто,3,58,
Почти всегда,4,58,
"Да, всегда",5,58,
Не знаю,0,59,
"Нет, никогда",1,59,
Иногда,2,59,
Часто,3,59,
Почти всегда,4,59,
"Да, всегда",5,59,
Не знаю,0,60,
"Нет, никогда",1,60,
Иногда,2,60,
Часто,3,60,
Почти всегда,4,60,
"Да, всегда",5,60,
Не знаю,0,61,
"Нет, никогда",1,61,
Иногда,2,61,
Часто,3,61,
Почти всегда,4,61,
"Да, всегда",5,61,
Не знаю,0,62,
"Нет, никогда",1,62,
Иногда,2,62,
Часто,3,62,
Почти всегда,4,62,
"Да, всегда",5,62,
Не знаю,0,63,
"Нет, никогда",1,63,
Иногда,2,63,
Часто,3,63,
Почти всегда,4,63,
"Да, всегда",5,63,Мыслитель
Не знаю,0,64,
"Нет, никогда",1,64,
Иногда,2,64,
Часто,3,64,
Почти всегда,4,64,
"Да, всегда",5,64,Жестокость
Не знаю,1,65,
"Нет, никогда",0,65,
Иногда,0,65,
Часто,0,65,
Почти всегда,0,65,
"Да, всегда",0,65,
а) Да,3,66,
"б) Да, неплохо было бы улучшить некоторые детали",2,66,
"в) Нет, в нем и так все прекрасно",1,66,
а) Да,3,67,Идеалист
б) Только если это занятие вам по душе,2,67,
"в) Нет, вас вполне удовлетворит результат, которого вы добьетесь",1,67,
"а) Да, без труда",3,68,Полиглот
"б) Да, но не поручитесь за правильность",2,68,
"в) Да, если это очень легко запоминающееся слово",1,68,
"а) Можете отказаться от нее, если услышите убедительные аргументы оппонентов",3,69,
"б) Измените свое мнение, если большинство будет придерживаться противоположной точки зрения",2,69,
"в) Останетесь при своем мнении, даже выслушав тысячи аргументов против",1,69,Настойчивость
"а) Да, в большинстве случаев",3,70,
"б) Да, в некоторых случаях",2,70,
в) Нет,1,70,
а) Остаться в одиночестве и поразмышлять,3,71,Мыслитель
"б) Вам безразлично, будете ли вы один или в компании",2,71,
в) Находиться в компании,1,71,
а) Да,3,72,
"б) Да, часто",2,72,
"в) Часто думаете, что не сможете",1,72,
а) Да,3,73,
б) Только если местность вам понравилась и запомнилась,2,73,
"в) Нет, вы наверняка собьетесь с пути",1,73,
а) Любите мечтать о чем-то абстрактном и отвлеченном,3,74,Фантезёр
"б) Иногда любите помечтать, но о реальных вещах, связанных с вашей жизнью",2,74,Мечтатель
в) Пытаетесь найти себе занятие,1,74,
"а) Да, наверняка",3,75,
б) Возможно,2,75,
в) Скорее всего нет,1,75,
"а) Оно закончено и, на ваш взгляд, выполнено прекрасно",3,76,
б) Вам еще не все удалось сделать,2,76,
в) Вы в целом довольны,1,76,
а) Да,3,77,
"б) Да, при благоприятных обстоятельствах",2,77,
в) Лишь в некоторой степени,1,77,
"а) Да, все новое вас привлекает",3,78,
"б) Все зависит от того, что это за дело",2,78,
"в) Нет, незнакомое дело вряд ли вас заинтересует",1,78,
а) Да,3,79,Исследователь
"б) Нет, вы хотите научиться только самому основному",2,79,
"в) Нет, вы хотите только удовлетворить свое любопытство",1,79,
"а) Везде, независимо от того, где и с кем вы находитесь",3,80,
"б) Только там, где не слишком шумно",2,80,
в) Только оставшись наедине с собой,1,80,
а) Свои возможности и дальнейшие перспективы для себя,3,81,
"б) Преимущества, которые дает данная профессия",2,81,
"в) Стабильность, значимость, важность профессии, потребность общества в ней",1,81,
"а) Да, конечно",3,82,
б) Запоминаете только интересующие вас подробности,2,82,
"в) Нет, всего вспомнить не сможете",1,82,
"а) Какое-то время упорствуете, вопреки здравому смыслу",3,83,Отчаянный
"б) Подолжаете делать свое дело, даже когда становится очевидно, что препятствия непреодолимы",2,83,Упорство
"в) Махнете рукой на эту затею, так как понимаете. что она нереальна",1,83,
Да,0,84,
Нет,1,84,
Да,1,85,
Нет,0,85,
Да,1,86,
Нет,0,86,
Да,0,87,
Нет,1,87,
Да,0,88,
Нет,1,88,
Да,0,89,
Нет,1,89,
Да,1,90,
Нет,0,90,
Да,0,91,Перфекционизм
Нет,1,91,
Да,0,92,
Нет,1,92,
Да,0,93,
Нет,1,93,
Да,0,94,
Нет,1,94,
Да,1,95,
Нет,0,95,
Да,0,96,
Нет,1,96,
Да,0,97,
Нет,1,97,
Да,1,98,
Нет,0,98,
Да,0,99,
Нет,1,99,
Да,0,100,
Нет,1,100,
Да,0,101,
Нет,1,101,
Да,1,102,
Нет,0,102,
Да,0,103,
Нет,1,103,
Да,1,104,
Нет,0,104,
Да,1,105,
Нет,0,105,
Да,0,106,
Нет,1,106,
Да,0,107,
Нет,1,107,
Да,1,108,
Нет,0,108,
Да,0,109,
Нет,1,109,
Да,0,110,Упорность
Нет,1,110,
Да,1,111,
Нет,0,111,
Да,1,112,
Нет,0,112,
Да,0,113,
Нет,1,113,
Да,0,114,
Нет,1,114,
Да,1,115,
Нет,0,115,
Да,0,116,
Нет,1,116,
Да,0,117,Увлечнность
Нет,1,117,
Да,1,118,
Нет,0,118,
Да,1,119,
Нет,0,119,
Да,1,120,
Нет,0,120,
Да,0,121,
Нет,1,121,
Да,0,122,Исследователь
Нет,1,122,
Да,0,123,
Нет,1,123,
Да,0,124,
Нет,1,124,
Да,1,125,
Нет,0,125,
Да,0,126,
Нет,1,126,
Да,0,127,Перфекционизм
Нет,1,127,
Да,1,128,
Нет,0,128,
Да,0,129,Упорность
Нет,1,129,
Да,1,130,
Нет,0,130,
Да,0,131,
Нет,1,131,
Да,1,132,
Нет,0,132,
Да,0,133,
Нет,1,133,
Да ,2,134,
Иногда,1,134,
Нет,0,134,
Да ,2,135,Стеснительность
Иногда,1,135,
Нет,0,135,
Да ,2,136,
Иногда,1,136,
Нет,0,136,
Да ,2,137,
Иногда,1,137,
Нет,0,137,
Да ,2,138,
Иногда,1,138,
Нет,0,138,
Да ,2,139,
Иногда,1,139,
Нет,0,139,Отзывчивость
Да ,2,140,
Иногда,1,140,
Нет,0,140,
Да ,2,141,Стеснительность
Иногда,1,141,
Нет,0,141,
Да ,2,142,
Иногда,1,142,
Нет,0,142,
Да ,2,143,
Иногда,1,143,
Нет,0,143,
Да ,2,144,
Иногда,1,144,
Нет,0,144,Терпеливость
Да ,2,145,
Иногда,1,145,
Нет,0,145,
Да ,2,146,
Иногда,1,146,
Нет,0,146,
Да ,2,147,
Иногда,1,147,
Нет,0,147,
Да ,2,148,
Иногда,1,148,
Нет,0,148,Отзывчивость
Да ,2,149,
Иногда,1,149,
Нет,0,149,
Согласен/Согласна (Всегда),4,150,
Скорее согласен/Скорее согласна (Часто),3,150,
Скорее не согласен/Скорее не согласна (Редко),2,150,
Не согласен/Не согласна (Никогда),1,150,
Согласен/Согласна (Всегда),1,151,
Скорее согласен/Скорее согласна (Часто),2,151,
Скорее не согласен/Скорее не согласна (Редко),3,151,
Не согласен/Не согласна (Никогда),4,151,
Согласен/Согласна (Всегда),4,152,
Скорее согласен/Скорее согласна (Часто),3,152,
Скорее не согласен/Скорее не согласна (Редко),2,152,
Не согласен/Не согласна (Никогда),1,152,
Согласен/Согласна (Всегда),1,153,
Скорее согласен/Скорее согласна (Часто),2,153,
Скорее не согласен/Скорее не согласна (Редко),3,153,
Не согласен/Не согласна (Никогда),4,153,
Согласен/Согласна (Всегда),4,154,
Скорее согласен/Скорее согласна (Часто),3,154,
Скорее не согласен/Скорее не согласна (Редко),2,154,
Не согласен/Не согласна (Никогда),1,154,
Согласен/Согласна (Всегда),4,155,Синтементальность
Скорее согласен/Скорее согласна (Часто),3,155,
Скорее не согласен/Скорее не согласна (Редко),2,155,
Не согласен/Не согласна (Никогда),1,155,
Согласен/Согласна (Всегда),4,156,
Скорее согласен/Скорее согласна (Часто),3,156,
Скорее не согласен/Скорее не согласна (Редко),2,156,
Не согласен/Не согласна (Никогда),1,156,
Согласен/Согласна (Всегда),4,157,
Скорее согласен/Скорее согласна (Часто),3,157,
Скорее не согласен/Скорее не согласна (Редко),2,157,
Не согласен/Не согласна (Никогда),1,157,
Согласен/Согласна (Всегда),4,158,
Скорее согласен/Скорее согласна (Часто),3,158,
Скорее не согласен/Скорее не согласна (Редко),2,158,
Не согласен/Не согласна (Никогда),1,158,
Согласен/Согласна (Всегда),4,159,
Скорее согласен/Скорее согласна (Часто),3,159,
Скорее не согласен/Скорее не согласна (Редко),2,159,
Не согласен/Не согласна (Никогда),1,159,
Согласен/Согласна (Всегда),4,160,Чувствительность
Скорее согласен/Скорее согласна (Часто),3,160,
Скорее не согласен/Скорее не согласна (Редко),2,160,
Не согласен/Не согласна (Никогда),1,160,
Согласен/Согласна (Всегда),4,161,
Скорее согласен/Скорее согласна (Часто),3,161,
Скорее не согласен/Скорее не согласна (Редко),2,161,
Не согласен/Не согласна (Никогда),1,161,
Согласен/Согласна (Всегда),4,162,
Скорее согласен/Скорее согласна (Часто),3,162,
Скорее не согласен/Скорее не согласна (Редко),2,162,
Не согласен/Не согласна (Никогда),1,162,
Согласен/Согласна (Всегда),4,163,
Скорее согласен/Скорее согласна (Часто),3,163,
Скорее не согласен/Скорее не согласна (Редко),2,163,
