b,Score,Result (Text),Tags
42,16,"Ты можешь быть очень чувствительным/ной и реактивным/ной к поведению окружающих, что иногда может вызывать негативные эмоции. Постарайся научиться более спокойно относиться к мелочам и не принимать все так близко к сердцу, чтобы сделать свой мир более приятным местом для себя.","Обидчивость, мстительность, болезненная реакция, частая смена настроения"
42,22,"Ты можешь быть чутким/ой к раздражителям, что иногда может вызывать трудности в отношениях как для тебя, так и для окружающих. Попробуй сохранять спокойствие и не допускать, чтобы мелочи выводили тебя из себя, ведь хорошие отношения и здоровье нервов имеют большое значение для всех.","Обидчивость, болезненная реакция, легко выходит из себя"
42,28,"Ты впечатляешь устойчивостью к мелким разногласиям, что помогает тебе поддерживать внутреннюю гармонию. Иногда это может вызывать впечатление равнодушия, но, возможно, это лишь потому, что другие не могут похвастаться такой способностью к сдержанности.","Необидчивсть, спокойствие, душевное равновесие, средняя степень равнодушия "
41,12,"Иногда, кажется, ты можешь испытывать сложности с мотивацией и силой воли, что может повлиять на выполнение обязанностей. Развивать силу воли можно, начав с создания плана и придерживаясь его, чтобы более эффективно управлять своим временем и задачами.","Слабая сила воли, средняя степень безалаберности "
41,21,"Ты обладаешь средней силой воли и применяешь её в нужные моменты, такие как решение сложных задач и выполнение обязательств. Однако, ты не всегда проявляешь дополнительные усилия по собственной инициативе. Если захочешь, можно уделить больше внимания развитию силы воли и достичь ещё больших успехов.","Средняя сила воли, отсутствие больших усилий, безынициативность "
41,30,"Твоя сила воли невероятно крепка, и ты всегда выполняешь свои обещания, даже выходя за их пределы. Ты с энтузиазмом берешься за сложные задачи, но иногда можешь быть слишком настойчивым/ой и упрямым/ой . Важно научиться сбалансировать свою настойчивость и готовность идти на компромиссы.","Железная воля, высокий энтузиазм, иногда упрямство "
51,11,"Иногда у тебя возникают вызовы в области эмпатии, и ты можешь чувствовать себя несколько оторванным в социальных ситуациях. Взаимодействие с разными возрастными группами, особенно с детьми и пожилыми людьми, может быть сложным для тебя. Ты склонен к предпочтению стимулирующим видам деятельности и спортивным состязаниям, а также обладаешь способностью к индивидуальной продуктивной работе. Критика иногда вызывает у тебя негативные эмоции, но реакция на нее может варьироваться. Важно работать над развитием эмпатии и гибкости в чувствах, чтобы улучшить межличностные отношения.","Очень низкая эмпатия, сложность устанавливать контакты, сложность находить взаимопонимание, любовь к острым ощущениям, эгоцентризм, продуктивность в индивидуальной работе, болезненная реакция на критику "
51,36,"Ты обладаешь низким уровнем эмпатии и иногда можешь испытывать затруднения в установлении связей с другими людьми. Тебе часто бывает не комфортно в больших группах, и эмоциональные проявления окружающих могут казаться тебе загадочными. Ты предпочитаешь уединенные занятия на свежем воздухе и ценишь логические решения. Возможно, у тебя не так много друзей, но ты ценишь их за их ум и деловые качества. Иногда может возникать чувство отчуждения, но развивая эмпатию и более внимательное отношение к окружающим, можно изменить эту динамику.","Низкий уровень эмпатии, сложность устанавливать контакты, неуютные ощущения в компании, непонимание проявлений и поступков других, предпочтение уединения, сторонник точных формулировок и рациональных решений, может быть мало друзей, ценит людей за деловые качества и ясный ум, ощущение отчужденности"
51,62,"Уровень твоей эмпатии находится в норме, как у большинства людей. Ты не являешься абсолютно безразличным, но и не считаешься сильно чувствительным. Ты оцениваешь других по их поступкам, стараясь понимать их действия. У тебя хороший контроль над эмоциями, но иногда теряешь терпение при излишней эмоциональности других. В общении ты внимателен и стараешься понять собеседника. Ты предпочитаешь осторожно выражать свою точку зрения и следишь за сюжетом в книгах и фильмах. Твоя способность прогнозировать развитие отношений между людьми может иногда вызывать удивление. Твои чувства не всегда находятся на первом плане, что может влиять на восприятие окружающих.","Нормальный уровень эмпатии, контроль своих эмоций, внимательность в общении, нетерпимость к излишним эмоциям других, аккуратность в выражении своей точки зрения, внимание на поступки и действия, нет раскованности чувств "
51,81,"Ты обладаешь высокой эмпатией и чувствительностью к потребностям окружающих. Ты великодушен и готов прощать многое. Ты проявляешь глубокий интерес к людям, умеешь читать их эмоции и влияние на будущее. Ты легко устанавливаешь контакты с окружающими, в том числе с детьми, и стараешься находить общий язык. Окружающие ценят твою доброту и способность к компромиссам. Ты переносишь критику с легкостью и часто полагаешься на свои чувства и интуицию. Ты предпочитаешь работать с людьми и искал свое социальное одобрение. Однако иногда ты можешь быть менее аккуратным в точной и кропотливой работе и подвержен влиянию внешних факторов.","Высокая эмпатия, чувствительность к нуждам и проблемам других, великодушие, умение прощать, интерес к людям, эмоциональная отзывчивость, общительность, быстро устанавливает контакты с другими, душевность, умение находить компромиссы, спокойное отношение к критике, внимание на чувства и интуицию, предпочтение работать в команде, нужно социальное одобрение, иногда неаккуратность в кропотливой работе, легко выходит из равновесия"
51,90,"Уровень твоей эмпатии находится на высоком уровне. Ты обладаешь чувствительностью к потребностям и проблемам других, проявляешь доброту и способность прощать. Ты искренне интересуешься людьми, обладаешь способностью читать их эмоции и предвидеть будущее. Ты легко устанавливаешь контакты с окружающими, включая детей, и находишь общий язык. Твоя душевность ценится окружающими, и ты предпочитаешь избегать конфликтов, стремясь к компромиссам. Ты умеешь принимать критику и полагаешься на свои чувства и интуицию в оценке событий. Ты предпочитаешь работу с людьми и ценишь социальное одобрение. Однако иногда ты можешь быть менее точным и педантичным в деталях и подвержен влиянию внешних факторов.","Очень высокий уровень эмпатии, излишне развитое сопереживание, мгновенное считывание настроения других, иногда попадание под «горячую руку», плохое самочувствие в окружении тяжелых людей, надежность, умение дать ценный совет, частый комплекс вины, сильная ранимость, впечатлительность, нуждается в эмоциональной поддержке от других"
39,23,"Возможно, твой творческий потенциал не раскрывается в полной мере из-за недооценки собственных способностей. Поверь в себя и свои способности, и это может помочь освободить творческий потенциал и начать создавать.","Маленький творческий потенциал, отсутствие веры в себя, обесценивание себя и своих достижений"
39,48,"Твой творческий потенциал может быть ограничен из-за недооценки собственных способностей. Настоящая уверенность в себе может помочь освободить творческий потенциал и вдохновение, что позволит начать творчески проявлять себя.","Нормальный творческий потенциал, наличие качеств, позволяющих творить "
