Id,Name,Country Id,Language
1,tokyo,103,EN
2,jakarta,95,EN
3,delhi,94,EN
4,manila,164,EN
5,são paulo,27,EN
6,seoul,197,EN
7,mumbai,94,EN
8,shanghai,41,EN
9,mexico city,134,EN
10,guangzhou,41,EN
11,cairo,60,EN
12,beijing,41,EN
13,new york,228,EN
14,kolkāta,94,EN
15,moscow,172,EN
16,bangkok,211,EN
17,dhaka,16,EN
18,buenos aires,9,EN
19,ōsaka,103,EN
20,lagos,151,EN
21,istanbul,219,EN
22,karachi,158,EN
23,kinshasa,46,EN
24,shenzhen,41,EN
25,bangalore,94,EN
26,ho chi minh city,234,EN
27,tehran,96,EN
28,los angeles,228,EN
29,rio de janeiro,27,EN
30,chengdu,41,EN
31,baoding,41,EN
32,chennai,94,EN
33,lahore,158,EN
34,london,227,EN
35,paris,71,EN
36,tianjin,41,EN
37,linyi,41,EN
38,shijiazhuang,41,EN
39,zhengzhou,41,EN
40,nanyang,41,EN
41,hyderābād,94,EN
42,wuhan,41,EN
43,handan,41,EN
44,nagoya,103,EN
45,weifang,41,EN
46,lima,163,EN
47,zhoukou,41,EN
48,luanda,6,EN
49,ganzhou,41,EN
50,tongshan,41,EN
51,kuala lumpur,125,EN
52,chicago,228,EN
53,heze,41,EN
54,chongqing,41,EN
55,hanoi,234,EN
56,fuyang,41,EN
57,changsha,41,EN
58,dongguan,41,EN
59,jining,41,EN
60,jinan,41,EN
61,pune,94,EN
62,foshan,41,EN
63,bogotá,43,EN
64,ahmedabad,94,EN
65,nanjing,41,EN
66,changchun,41,EN
67,tangshan,41,EN
68,cangzhou,41,EN
69,dar es salaam,210,EN
70,hefei,41,EN
71,hong kong,91,EN
72,shaoyang,41,EN
73,zhanjiang,41,EN
74,shangqiu,41,EN
75,nantong,41,EN
76,yancheng,41,EN
77,nanning,41,EN
78,hengyang,41,EN
79,zhumadian,41,EN
80,shenyang,41,EN
81,xingtai,41,EN
82,xi’an,41,EN
83,santiago,40,EN
84,yantai,41,EN
85,riyadh,184,EN
86,luoyang,41,EN
87,kunming,41,EN
88,shangrao,41,EN
89,hangzhou,41,EN
90,bijie,41,EN
91,quanzhou,41,EN
92,miami,228,EN
93,wuxi,41,EN
94,huanggang,41,EN
95,maoming,41,EN
96,nanchong,41,EN
97,zunyi,41,EN
98,qujing,41,EN
99,baghdad,97,EN
100,xinyang,41,EN
101,jieyang,41,EN
102,khartoum,201,EN
103,madrid,199,EN
104,allahābād,94,EN
105,yulin,41,EN
106,changde,41,EN
107,liaocheng,41,EN
108,qingdao,41,EN
109,dallas,228,EN
110,nangandao,41,EN
111,xiangyang,41,EN
112,philadelphia,228,EN
113,giza,60,EN
114,lu’an,41,EN
115,zhaotong,41,EN
116,yichun,41,EN
117,dezhou,41,EN
118,nairobi,107,EN
119,nanchang,41,EN
120,tai’an,41,EN
121,dazhou,41,EN
122,houston,228,EN
123,guadalajara,134,EN
124,yongzhou,41,EN
125,atlanta,228,EN
126,rangoon,142,EN
127,toronto,36,EN
128,suihua,41,EN
129,saint petersburg,172,EN
130,washington,228,EN
131,qiqihar,41,EN
132,suzhou,41,EN
133,shantou,41,EN
134,weinan,41,EN
135,changzhou,41,EN
136,singapore,189,EN
137,fuzhou,41,EN
138,pudong,41,EN
139,belo horizonte,27,EN
140,zhangzhou,41,EN
141,yuncheng,41,EN
142,suzhou,41,EN
143,xianyang,41,EN
144,guilin,41,EN
145,taizhou,41,EN
146,abidjan,54,EN
147,huaihua,41,EN
148,ji’an,41,EN
149,xiaoganzhan,41,EN
150,pingdingshan,41,EN
151,jiujiang,41,EN
152,sūrat,94,EN
153,guiyang,41,EN
154,alexandria,60,EN
155,bozhou,41,EN
156,sydney,12,EN
157,huizhou,41,EN
158,huai’an,41,EN
159,chenzhou,41,EN
160,barcelona,199,EN
161,anqing,41,EN
162,suqian,41,EN
163,boston,228,EN
164,jiangmen,41,EN
165,mianyang,41,EN
166,harbin,41,EN
167,huanglongsi,41,EN
168,melbourne,12,EN
169,zibo,41,EN
170,dalian,41,EN
171,hengshui,41,EN
172,yibin,41,EN
173,yangzhou,41,EN
174,timbío,43,EN
175,johannesburg,195,EN
176,yiyang,41,EN
177,guigang,41,EN
178,xinpu,41,EN
179,meizhou,41,EN
180,casablanca,140,EN
181,langfang,41,EN
182,zhangjiakou,41,EN
183,chifeng,41,EN
184,linfen,41,EN
185,jiangguanchi,41,EN
186,kabul,1,EN
187,phoenix,228,EN
188,luzhou,41,EN
189,taiyuan,41,EN
190,zhaoqing,41,EN
191,xiaoxita,41,EN
192,xiamen,41,EN
193,fuzhou,41,EN
194,liuzhou,41,EN
195,zhuzhou,41,EN
196,amman,105,EN
197,jeddah,184,EN
198,chuzhou,41,EN
199,loudi,41,EN
200,deyang,41,EN
201,qingyuan,41,EN
202,kano,151,EN
203,wuhu,41,EN
204,seattle,228,EN
205,yokohama,103,EN
206,binzhou,41,EN
207,baojishi,41,EN
208,zaozhuang,41,EN
209,neijiang,41,EN
210,baicheng,41,EN
211,berlin,77,EN
212,anshan,41,EN
213,lanzhou,41,EN
214,puyang,41,EN
215,san francisco,228,EN
216,jiaozuo,41,EN
217,hechi,41,EN
218,montréal,36,EN
219,detroit,228,EN
220,chengde,41,EN
221,busan,197,EN
222,algiers,3,EN
223,hanzhong,41,EN
224,shiyan,41,EN
225,lucknow,94,EN
226,siping,41,EN
227,yulinshi,41,EN
228,changzhi,41,EN
229,qinzhou,41,EN
230,bazhou,41,EN
231,qincheng,41,EN
232,zhongshan,41,EN
233,suining,41,EN
234,leshan,41,EN
235,san diego,228,EN
236,faisalabad,158,EN
237,guang’an,41,EN
238,tongren,41,EN
239,bengbu,41,EN
240,santa cruz,24,EN
241,qinhuangdao,41,EN
242,tongliao,41,EN
243,jinzhou,41,EN
244,zhenjiang,41,EN
245,ürümqi,41,EN
246,heyuan,41,EN
247,jaipur,94,EN
248,xinzhou,41,EN
249,wuzhou,41,EN
250,addis ababa,65,EN
251,chaoyang,41,EN
252,brasília,27,EN
253,mashhad,96,EN
254,shaoguan,41,EN
255,kuwait city,110,EN
256,shanwei,41,EN
257,quezon city,164,EN
258,minneapolis,228,EN
259,kyiv,225,EN
260,sanaa,237,EN
261,meishan,41,EN
262,guatemala city,85,EN
263,incheon,197,EN
264,ningde,41,EN
265,tampa,228,EN
266,daqing,41,EN
267,putian,41,EN
268,bandung,95,EN
269,surabaya,95,EN
270,salvador,27,EN
271,denver,228,EN
272,rome,101,EN
273,la paz,24,EN
274,hohhot,41,EN
275,xiangtan,41,EN
276,pyongyang,154,EN
277,taichung,208,EN
278,weihai,41,EN
279,rizhao,41,EN
280,mudanjiang,41,EN
281,kaohsiung,208,EN
282,guayaquil,59,EN
283,tieling,41,EN
284,cawnpore,94,EN
285,dingxi,41,EN
286,taipei,208,EN
287,nanping,41,EN
288,zigong,41,EN
289,chaozhou,41,EN
290,baotou,41,EN
291,gulou,41,EN
292,longyan,41,EN
293,ankang,41,EN
294,baoshan,41,EN
295,huludao,41,EN
296,antananarivo,123,EN
297,yanjiang,41,EN
298,chattogram,16,EN
299,santo domingo,58,EN
300,sanming,41,EN
301,longba,41,EN
302,brooklyn,228,EN
303,yangjiang,41,EN
304,jiamusi,41,EN
305,ibadan,151,EN
306,luohe,41,EN
307,lincang,41,EN
308,medellín,43,EN
309,xuanzhou,41,EN
310,yunfu,41,EN
311,dubai,226,EN
312,mirzāpur,94,EN
313,tashkent,230,EN
314,guangyuan,41,EN
315,cali,43,EN
316,huangshi,41,EN
317,ouagadougou,31,EN
318,daegu,197,EN
319,fortaleza,27,EN
320,yaoundé,35,EN
321,douala,35,EN
322,jilin,41,EN
323,dandong,41,EN
324,lianshan,41,EN
325,yingkou,41,EN
326,nāgpur,94,EN
327,omdurman,201,EN
328,bekasi,95,EN
329,ghāziābād,94,EN
330,yuxi,41,EN
331,brisbane,12,EN
332,anshun,41,EN
333,depok,95,EN
334,shangzhou,41,EN
335,huainan,41,EN
336,kuaidamao,41,EN
337,accra,78,EN
338,fukuoka,103,EN
339,jincheng,41,EN
340,vancouver,36,EN
341,tangerang,95,EN
342,sanmenxia,41,EN
343,laibin,41,EN
344,queens,228,EN
345,qinbaling,41,EN
346,xining,41,EN
347,ma’anshan,41,EN
348,yan’an,41,EN
349,baku,14,EN
350,gaoping,41,EN
351,harare,239,EN
352,havana,50,EN
353,phnom penh,34,EN
354,ningbo,41,EN
355,mogadishu,194,EN
356,puning,41,EN
357,medan,95,EN
358,huaibei,41,EN
359,qingyang,41,EN
360,riverside,228,EN
361,baltimore,228,EN
362,haiphong,234,EN
363,las vegas,228,EN
364,chongzuo,41,EN
365,rawalpindi,158,EN
366,kumasi,78,EN
367,portland,228,EN
368,vadodara,94,EN
369,hezhou,41,EN
370,pingliang,41,EN
371,san antonio,228,EN
372,perth,12,EN
373,vishākhapatnam,94,EN
374,shengli,41,EN
375,gujranwala,158,EN
376,baicheng,41,EN
377,fushun,41,EN
378,st. louis,228,EN
379,bamako,127,EN
380,quito,59,EN
381,minsk,18,EN
382,indore,94,EN
383,yinchuan,41,EN
384,kananga,46,EN
385,peshawar,158,EN
386,sapporo,103,EN
387,eşfahān,96,EN
388,caracas,233,EN
389,pingxiang,41,EN
390,aleppo,207,EN
391,tijuana,134,EN
392,almaty,106,EN
393,vienna,13,EN
394,thāne,94,EN
395,sacramento,228,EN
396,blantyre,124,EN
397,tainan,208,EN
398,zhuhai,41,EN
399,bucharest,171,EN
400,curitiba,27,EN
401,multan,158,EN
402,xiping,41,EN
403,ecatepec,134,EN
404,jixi,41,EN
405,saidu sharif,158,EN
406,liaoyang,41,EN
407,hamburg,77,EN
408,meru,107,EN
409,brazzaville,45,EN
410,orlando,228,EN
