Id,Name,Country Id,Language
1,токио,103,RU
2,джакарта,95,RU
3,дели,94,RU
4,манила,164,RU
5,сан-паулу,27,RU
6,сеул,197,RU
7,мумбаи,94,RU
8,шанхай,41,RU
9,мехико,134,RU
10,гуанчжоу,41,RU
11,каир,60,RU
12,пекин,41,RU
13,нью-йорк,228,RU
14,калькутта,94,RU
15,москва,172,RU
16,бангкок,211,RU
17,дакка,16,RU
18,буэнос айрес,9,RU
19,осака,103,RU
20,лагос,151,RU
21,стамбул,219,RU
22,карачи,158,RU
23,киншаса,46,RU
24,шэньчжэнь,41,RU
25,бангалор,94,RU
26,хошимин,234,RU
27,тегеран,96,RU
28,ангелы,228,RU
29,рио де жанейро,27,RU
30,чэнду,41,RU
31,баодин,41,RU
32,ченнаи,94,RU
33,лахор,158,RU
34,лондон,227,RU
35,париж,71,RU
36,тяньцзинь,41,RU
37,линия,41,RU
38,шицзячжуан,41,RU
39,чжэнчжоу,41,RU
40,наньян,41,RU
41,уверенность,94,RU
42,ухань,41,RU
43,вне,41,RU
44,нагоя,103,RU
45,вэйфан,41,RU
46,лима,163,RU
47,чжоукоу,41,RU
48,луанда,6,RU
49,ганьчжоу,41,RU
50,туншань,41,RU
51,куала-лумпур,125,RU
52,чикаго,228,RU
53,влажный,41,RU
54,чунцин,41,RU
55,ханой,234,RU
56,фуян,41,RU
57,чанша,41,RU
58,дунгуань,41,RU
59,цзинин,41,RU
60,женщины,41,RU
61,пуна,94,RU
62,фошань,41,RU
63,богота,43,RU
64,ахмедабад,94,RU
65,нанкин,41,RU
66,чанчунь,41,RU
67,таншань,41,RU
68,цанчжоу,41,RU
69,дар-эс-салам,210,RU
70,хэфэй,41,RU
71,гонконг,91,RU
72,шаоян,41,RU
73,чжаньцзян,41,RU
74,шанцю,41,RU
75,наньтун,41,RU
76,яньчэн,41,RU
77,наньнин,41,RU
78,хэнъян,41,RU
79,жумадянь,41,RU
80,шэньян,41,RU
81,синтай,41,RU
82,сиань,41,RU
83,сантьяго,40,RU
84,яньтай,41,RU
85,эр-рияд,184,RU
86,лоян,41,RU
87,куньмин,41,RU
88,шанграо,41,RU
89,ханчжоу,41,RU
90,биджие,41,RU
91,цюаньчжоу,41,RU
92,майами,228,RU
93,уси,41,RU
94,хуанган,41,RU
95,маомин,41,RU
96,наньчун,41,RU
97,цзуньи,41,RU
98,цюйцзин,41,RU
99,багдад,97,RU
100,синьян,41,RU
101,цзеян,41,RU
102,хартум,201,RU
103,мадрид,199,RU
104,аллахабад,94,RU
105,юлин,41,RU
106,чандэ,41,RU
107,ляочэн,41,RU
108,циндао,41,RU
109,даллас,228,RU
110,молиться,41,RU
111,сянъян,41,RU
112,филадельфия,228,RU
113,гиза,60,RU
114,луань,41,RU
115,чжаотун,41,RU
116,ичунь,41,RU
117,дэчжоу,41,RU
118,найроби,107,RU
119,наньчан,41,RU
120,тайань,41,RU
121,дачжоу,41,RU
122,хьюстон,228,RU
123,гвадалахара,134,RU
124,юнчжоу,41,RU
125,атланта,228,RU
126,ранго,142,RU
127,торонто,36,RU
128,суйхуа,41,RU
129,санкт-петербург,172,RU
130,вашингтон,228,RU
131,цицикар,41,RU
132,сучжоу,41,RU
133,шаньтоу,41,RU
134,вэйнань,41,RU
135,чанчжоу,41,RU
136,сингапур,189,RU
137,фучжоу,41,RU
138,пудун,41,RU
139,белу-оризонти,27,RU
140,чжанчжоу,41,RU
141,юньчэн,41,RU
142,сучжоу,41,RU
143,сяньян,41,RU
144,гуйлинь,41,RU
