Id,Name,Country Id,Language
1,токіо,103,UK
2,джакарта,95,UK
3,делі,94,UK
4,маніла,164,UK
5,сан-паулу,27,UK
6,сеул,197,UK
7,мумбаї,94,UK
8,шанхай,41,UK
9,мехіко,134,UK
10,гуанчжоу,41,UK
11,каїр,60,UK
12,пекін,41,UK
13,нью-йорк,228,UK
14,колката,94,UK
15,москва,172,UK
16,бангкок,211,UK
17,дакка,16,UK
18,буенос-айрес,9,UK
19,осака,103,UK
20,лагос,151,UK
21,стамбул,219,UK
22,карачі,158,UK
23,кіншаса,46,UK
24,шеньчжень,41,UK
25,бангалор,94,UK
26,хошимін,234,UK
27,тегеран,96,UK
28,ангели,228,UK
29,ріо-де-жанейро,27,UK
30,ченду,41,UK
31,баодін,41,UK
32,ченнаї,94,UK
33,лахор,158,UK
34,лондон,227,UK
35,париж,71,UK
36,тяньцзінь,41,UK
37,лінія,41,UK
38,шицзячжуан,41,UK
39,чженчжоу,41,UK
40,наньян,41,UK
41,впевненість,94,UK
42,ухань,41,UK
43,за межами,41,UK
44,нагоя,103,UK
45,вейфан,41,UK
46,ліма,163,UK
47,чжоукоу,41,UK
48,луанда,6,UK
49,ганьчжоу,41,UK
50,туншань,41,UK
51,куала-лумпур,125,UK
52,чикаго,228,UK
53,мокрий,41,UK
54,чунцин,41,UK
55,ханой,234,UK
56,фуян,41,UK
57,чанша,41,UK
58,дунгуань,41,UK
59,цзінін,41,UK
60,жінки,41,UK
61,пуна,94,UK
62,фошань,41,UK
63,богота,43,UK
64,ахмедабад,94,UK
65,нанкін,41,UK
66,чанчунь,41,UK
67,таншань,41,UK
68,цанчжоу,41,UK
69,дар-ес-салам,210,UK
70,хефей,41,UK
71,гонконг,91,UK
72,шаоян,41,UK
73,чжаньцзян,41,UK
74,shangqiu,41,UK
75,наньтун,41,UK
76,яньчен,41,UK
77,наннін,41,UK
78,хен'ян,41,UK
79,жумадян,41,UK
80,шеньян,41,UK
81,сінтай,41,UK
82,сіань,41,UK
83,сантьяго,40,UK
84,яньтай,41,UK
85,ер-ріяд,184,UK
86,лоян,41,UK
87,куньмін,41,UK
88,шанграо,41,UK
89,ханчжоу,41,UK
90,bijie,41,UK
91,цюаньчжоу,41,UK
92,маямі,228,UK
93,усі,41,UK
94,хуанган,41,UK
95,маомінг,41,UK
96,наньчун,41,UK
97,цзуньї,41,UK
98,qujing,41,UK
99,багдад,97,UK
100,сіньян,41,UK
101,цзеян,41,UK
102,хартум,201,UK
103,мадрид,199,UK
104,аллахабад,94,UK
105,юлінь,41,UK
106,чанде,41,UK
107,ляочен,41,UK
108,циндао,41,UK
109,даллас,228,UK
110,молитися,41,UK
111,сян'ян,41,UK
112,філадельфія,228,UK
113,гіза,60,UK
114,луан,41,UK
115,чжаотун,41,UK
116,ічунь,41,UK
117,дечжоу,41,UK
118,найробі,107,UK
119,наньчан,41,UK
120,тайань,41,UK
121,дачжоу,41,UK
122,х'юстон,228,UK
123,гвадалахара,134,UK
124,юнчжоу,41,UK
125,атланта,228,UK
126,до ранго,142,UK
127,торонто,36,UK
128,суйхуа,41,UK
129,санкт-петербург,172,UK
130,вашингтон,228,UK
131,ціціхар,41,UK
132,сучжоу,41,UK
133,шаньтоу,41,UK
134,вейнань,41,UK
135,чанчжоу,41,UK
136,сінгапур,189,UK
137,фучжоу,41,UK
138,пудун,41,UK
139,белу-оризонті,27,UK
140,чжанчжоу,41,UK
141,юньчен,41,UK
142,сучжоу,41,UK
143,сяньян,41,UK
144,гуйлінь,41,UK
145,тайчжоу,41,UK
146,абіджан,54,UK
147,хуайхуа,41,UK
148,ji'an,41,UK
149,сяоганьчжань,41,UK
150,пінгдінгшань,41,UK
151,цзюцзян,41,UK
152,сурат,94,UK
153,гуйян,41,UK
154,олександрія,60,UK
155,бочжоу,41,UK
156,сідней,12,UK
