Id,Name,Language,Priority
1,афганистан,RU,5
2,албания,RU,5
3,алжир,RU,5
4,американское самоа,RU,5
5,андорра,RU,5
6,ангола,RU,5
7,ангилья,RU,5
8,антигуа и барбуда,RU,5
9,аргентина,RU,5
10,армения,RU,5
11,аруба,RU,5
12,австралия,RU,5
13,австрия,RU,3
14,азербайджан,RU,5
15,бахрейн,RU,5
16,бангладеш,RU,5
17,барбадос,RU,5
18,беларусь,RU,3
19,бельгия,RU,5
20,белиз,RU,5
21,бенин,RU,5
22,бермуды,RU,5
23,бутан,RU,5
24,боливия,RU,5
25,босния и герцеговина,RU,5
26,ботсвана,RU,5
27,бразилия,RU,5
28,британские виргинские острова,RU,5
29,бруней,RU,5
30,болгария,RU,5
31,буркина-фасо,RU,5
32,бурунди,RU,5
33,кабо-верде,RU,5
34,камбоджа,RU,5
35,камерун,RU,5
36,канада,RU,5
37,каймановы острова,RU,5
38,центрально-африканская республика,RU,5
39,чад,RU,5
40,чили,RU,5
41,китай,RU,5
42,остров рождества,RU,5
43,колумбия,RU,5
44,коморские острова,RU,5
45,конго (браззавиль),RU,5
46,конго (киншаса),RU,5
47,острова кука,RU,5
48,коста-рика,RU,5
49,хорватия,RU,5
50,куба,RU,5
51,кюрасао,RU,5
52,кипр,RU,5
53,чехия,RU,1
54,кот-д'ивуар,RU,5
55,дания,RU,5
56,джибути,RU,5
57,доминика,RU,5
58,доминиканская республика,RU,5
59,эквадор,RU,5
60,египет,RU,5
61,спаситель,RU,5
62,экваториальная гвинея,RU,5
63,эритрея,RU,5
64,эстония,RU,5
65,эфиопия,RU,5
66,фолклендские острова (фолклендские острова),RU,5
67,фарерские острова,RU,5
68,федеративные штаты микронезии,RU,5
69,фиджи,RU,5
70,финляндия,RU,5
71,франция,RU,5
72,французская гвиана,RU,5
73,французская полинезия,RU,5
74,габон,RU,5
75,сектор газа,RU,5
76,грузия,RU,5
77,германия,RU,2
78,гана,RU,5
79,гибралтар,RU,5
80,греция,RU,5
81,гренландия,RU,5
82,гренада,RU,5
83,гваделупа,RU,5
84,гуам,RU,5
85,гватемала,RU,5
86,гвинея,RU,5
87,гвинея-бисау,RU,5
88,гайана,RU,5
89,гаити,RU,5
90,гондурас,RU,5
91,гонконг,RU,5
92,венгрия,RU,5
93,исландия,RU,5
94,индия,RU,5
95,индонезия,RU,5
96,иран,RU,5
97,ирак,RU,5
98,ирландия,RU,3
99,остров мэн,RU,5
100,израиль,RU,5
101,италия,RU,3
102,ямайка,RU,5
103,япония,RU,5
104,джерси,RU,5
105,иордания,RU,5
106,казахстан,RU,5
107,кения,RU,5
108,кирибати,RU,5
109,косово,RU,5
110,кувейт,RU,5
111,кыргызстан,RU,5
112,лаос,RU,5
113,латвия,RU,5
114,ливан,RU,5
115,лесото,RU,5
116,либерия,RU,5
117,ливия,RU,5
118,лихтенштейн,RU,5
119,литва,RU,5
120,люксембург,RU,5
121,макао,RU,5
122,македония,RU,5
123,мадагаскар,RU,5
124,малави,RU,5
125,малайзия,RU,5
126,мальдивы,RU,5
127,мали,RU,5
128,мальта,RU,5
129,маршалловы острова,RU,5
130,мартиника,RU,5
131,мавритания,RU,5
132,маврикий,RU,5
133,майотта,RU,5
134,мексика,RU,5
135,молдова,RU,5
136,монако,RU,5
137,монголия,RU,5
138,черногория,RU,5
139,монтсеррат,RU,5
140,марокко,RU,5
141,мозамбик,RU,5
142,мьянма,RU,5
143,намибия,RU,5
144,науру,RU,5
145,непал,RU,5
146,нидерланды,RU,5
147,новая каледония,RU,5
148,новая зеландия,RU,5
149,никарагуа,RU,5
150,нигер,RU,5
151,нигерия,RU,5
152,ниуэ,RU,5
153,остров норфолк,RU,5
154,северная корея,RU,5
155,северные марианские острова,RU,5
156,норвегия,RU,5
157,оман,RU,5
158,пакистан,RU,5
159,палау,RU,5
160,панама,RU,5
161,папуа - новая гвинея,RU,5
162,парагвай,RU,5
163,перу,RU,5
164,филиппины,RU,5
165,острова питкэрн,RU,5
166,польша,RU,1
167,португалия,RU,5
168,пуэрто-рико,RU,5
169,катар,RU,5
170,воссоединение,RU,5
171,румыния,RU,5
172,россия,RU,2
173,руанда,RU,5
174,сен-бартелеми,RU,5
175,"святая елена, вознесение и тристан-да-кунья",RU,5
176,сент-китс и невис,RU,5
177,санкт-люсия,RU,5
178,сен-мартин,RU,5
179,сен-пьер и микелон,RU,5
180,святой винсент и гренадины,RU,5
181,самоа,RU,5
182,сан-марино,RU,5
183,сан-томе и принсипи,RU,5
184,саудовская аравия,RU,5
185,сенегал,RU,5
186,сербия,RU,5
187,сейшельские острова,RU,5
188,сьерра-леоне,RU,5
189,сингапур,RU,5
190,сен-мартен,RU,5
191,словакия,RU,2
192,словения,RU,5
193,соломоновы острова,RU,5
194,сомали,RU,5
195,южная африка,RU,5
196,южная георгия и южные сандвичевы острова,RU,5
197,южная корея,RU,5
198,южный судан,RU,5
199,испания,RU,5
200,шри-ланка,RU,5
201,судан,RU,5
202,суринам,RU,5
203,шпицберген,RU,5
204,свазиленд,RU,5
205,швеция,RU,5
206,швейцария,RU,5
207,сирия,RU,5
208,тайвань,RU,5
209,таджикистан,RU,5
210,танзания,RU,5
211,таиланд,RU,5
212,багамские острова,RU,5
213,гамбия,RU,5
214,тимор читать,RU,5
215,идти,RU,5
216,тонга,RU,5
217,тринидад и тобаго,RU,5
218,тунис,RU,5
219,турция,RU,5
220,туркменистан,RU,5
221,острова тёркс и кайкос,RU,5
222,тувалу,RU,5
223,американские виргинские острова,RU,5
224,уганда,RU,5
225,украина,RU,1
226,объединенные арабские эмираты,RU,5
227,великобритания,RU,3
228,соединенные штаты,RU,2
229,уругвай,RU,5
230,узбекистан,RU,5
231,вануату,RU,5
