Id,Name,Language,Priority
1,афганістан,UK,5
2,албанія,UK,5
3,алжир,UK,5
4,американське самоа,UK,5
5,андорра,UK,5
6,ангола,UK,5
7,ангілья,UK,5
8,антигуа і барбуда,UK,5
9,аргентина,UK,5
10,вірменія,UK,5
11,аруба,UK,5
12,австралія,UK,5
13,австрія,UK,3
14,азербайджан,UK,5
15,бахрейн,UK,5
16,бангладеш,UK,5
17,барбадос,UK,5
18,білорусь,UK,3
19,бельгія,UK,5
20,беліз,UK,5
21,бенін,UK,5
22,бермудські острови,UK,5
23,бутан,UK,5
24,болівія,UK,5
25,боснія і герцеговина,UK,5
26,ботсвана,UK,5
27,бразилія,UK,5
28,британські віргінські острови,UK,5
29,бруней,UK,5
30,болгарія,UK,5
31,буркіна фасо,UK,5
32,бурунді,UK,5
33,кабо-верде,UK,5
34,камбоджа,UK,5
35,камерун,UK,5
36,канада,UK,5
37,кайманові острови,UK,5
38,центральноафриканська республіка,UK,5
39,чад,UK,5
40,чилі,UK,5
41,китай,UK,5
42,острів різдва,UK,5
43,колумбія,UK,5
44,коморські острови,UK,5
45,конго (браззавіль),UK,5
46,конго (кіншаса),UK,5
47,острови кука,UK,5
48,коста-ріка,UK,5
49,хорватія,UK,5
50,куба,UK,5
51,кюрасао,UK,5
52,кіпр,UK,5
53,чехія,UK,1
54,берег слонової кістки,UK,5
55,данія,UK,5
56,джібуті,UK,5
57,домініка,UK,5
58,домініканська республіка,UK,5
59,еквадор,UK,5
60,єгипет,UK,5
61,спаситель,UK,5
62,екваторіальна гвінея,UK,5
63,еритрея,UK,5
64,естонія,UK,5
65,ефіопія,UK,5
66,фолклендські острови (фолклендські острови),UK,5
67,фарерські острови,UK,5
68,федеративні штати мікронезії,UK,5
69,фіджі,UK,5
70,фінляндія,UK,5
71,франція,UK,5
72,французька гвіана,UK,5
73,французька полінезія,UK,5
74,габон,UK,5
75,сектор газа,UK,5
76,грузія,UK,5
77,німеччина,UK,2
78,гана,UK,5
79,гібралтар,UK,5
80,греція,UK,5
81,гренландія,UK,5
82,гренада,UK,5
83,гваделупа,UK,5
84,гуам,UK,5
85,гватемала,UK,5
86,гвінея,UK,5
87,гвінея-бісау,UK,5
88,гайана,UK,5
89,гаїті,UK,5
90,гондурас,UK,5
91,гонконг,UK,5
92,угорщина,UK,5
93,ісландія,UK,5
94,індія,UK,5
95,індонезія,UK,5
96,іран,UK,5
97,ірак,UK,5
98,ірландія,UK,3
99,острів мен,UK,5
100,ізраїль,UK,5
101,італія,UK,3
102,ямайка,UK,5
103,японія,UK,5
104,джерсі,UK,5
105,йорданія,UK,5
106,казахстан,UK,5
107,кенія,UK,5
108,кірібаті,UK,5
109,косово,UK,5
110,кувейт,UK,5
111,киргизстан,UK,5
112,лаос,UK,5
113,латвія,UK,5
114,ліван,UK,5
115,лесото,UK,5
116,ліберія,UK,5
117,лівія,UK,5
118,ліхтенштейн,UK,5
119,литва,UK,5
120,люксембург,UK,5
121,макао,UK,5
122,македонія,UK,5
123,мадагаскар,UK,5
124,малаві,UK,5
125,малайзія,UK,5
126,мальдіви,UK,5
127,малі,UK,5
128,мальта,UK,5
129,маршаллові острови,UK,5
130,мартініка,UK,5
131,мавританія,UK,5
132,маврикій,UK,5
133,майотта,UK,5
134,мексика,UK,5
135,молдова,UK,5
136,монако,UK,5
137,монголія,UK,5
138,чорногорія,UK,5
139,монсеррат,UK,5
140,марокко,UK,5
141,мозамбік,UK,5
142,м'янма,UK,5
143,намібія,UK,5
144,науру,UK,5
145,непал,UK,5
146,нідерланди,UK,5
147,нова каледонія,UK,5
148,нова зеландія,UK,5
149,нікарагуа,UK,5
150,нігер,UK,5
151,нігерія,UK,5
152,ніуе,UK,5
153,острів норфолк,UK,5
154,північна корея,UK,5
155,північні маріанські острови,UK,5
156,норвегія,UK,5
