Name,Currency,Price
Premium7,USD,"2,99"
Premium21,USD,"6,99"
Premium30,USD,"9,99"
SecondChance3,USD,"1,50"
SecondChance7,USD,"3,50"
SecondChance10,USD,"3,99"
Valentine3,USD,"2,99"
Valentine7,USD,"4,99"
Valentine10,USD,"5,99"
Detector3,USD,"1,50"
Detector7,USD,"3,50"
Detector10,USD,"3,99"
Nullifier3,USD,"1,50"
Nullifier7,USD,"3,50"
Nullifier10,USD,"3,99"
DecMini3,USD,"1,50"
DecMini7,USD,"3,50"
DecMini10,USD,"3,99"
DecPlatinum3,USD,"2,99"
DecPlatinum7,USD,"4,99"
DecPlatinum10,USD,"5,99"
OCP3,USD,"3,50"
OCP7,USD,"4,99"
OCP10,USD,"5,50"
Points150,USD,"1,50"
Points500,USD,"2,50"
Points2000,USD,"6,99"
Premium7,EUR,"2,99"
Premium21,EUR,"6,50"
Premium30,EUR,"9,50"
SecondChance3,EUR,"1,50"
SecondChance7,EUR,"3,50"
SecondChance10,EUR,"3,99"
Valentine3,EUR,"2,99"
Valentine7,EUR,"4,50"
Valentine10,EUR,"5,50"
Detector3,EUR,"1,50"
Detector7,EUR,"3,50"
Detector10,EUR,"3,99"
Nullifier3,EUR,"1,50"
Nullifier7,EUR,"3,50"
Nullifier10,EUR,"3,99"
DecMini3,EUR,"1,50"
DecMini7,EUR,"3,50"
DecMini10,EUR,"3,99"
DecPlatinum3,EUR,"2,99"
DecPlatinum7,EUR,"4,50"
DecPlatinum10,EUR,"5,50"
OCP3,EUR,"3,50"
OCP7,EUR,"4,50"
OCP10,EUR,"4,99"
Points150,EUR,"1,50"
Points500,EUR,"2,50"
Points2000,EUR,"6,99"
Premium7,UAH,"110,00"
Premium21,UAH,"260,00"
Premium30,UAH,"370,00"
SecondChance3,UAH,"55,00"
SecondChance7,UAH,"130,00"
SecondChance10,UAH,"145,00"
Valentine3,UAH,"110,00"
Valentine7,UAH,"180,00"
Valentine10,UAH,"220,00"
Detector3,UAH,"55,00"
Detector7,UAH,"130,00"
Detector10,UAH,"145,00"
Nullifier3,UAH,"55,00"
Nullifier7,UAH,"130,00"
Nullifier10,UAH,"145,00"
DecMini3,UAH,"55,00"
DecMini7,UAH,"130,00"
DecMini10,UAH,"145,00"
DecPlatinum3,UAH,"110,00"
DecPlatinum7,UAH,"180,00"
DecPlatinum10,UAH,"220,00"
OCP3,UAH,"130,00"
OCP7,UAH,"180,00"
OCP10,UAH,"200,00"
Points150,UAH,"110,00"
Points500,UAH,"180,00"
Points2000,UAH,"260,00"
Premium7,CZK,"66,00"
Premium21,CZK,"154,00"
Premium30,CZK,"220,00"
SecondChance3,CZK,"33,00"
SecondChance7,CZK,"77,00"
SecondChance10,CZK,"88,00"
Valentine3,CZK,"66,00"
Valentine7,CZK,"110,00"
Valentine10,CZK,"130,00"
Detector3,CZK,"33,00"
Detector7,CZK,"77,00"
Detector10,CZK,"88,00"
Nullifier3,CZK,"33,00"
Nullifier7,CZK,"77,00"
Nullifier10,CZK,"88,00"
DecMini3,CZK,"33,00"
DecMini7,CZK,"77,00"
DecMini10,CZK,"88,00"
DecPlatinum3,CZK,"66,00"
DecPlatinum7,CZK,"110,00"
DecPlatinum10,CZK,"130,00"
OCP3,CZK,"77,00"
OCP7,CZK,"110,00"
OCP10,CZK,"120,00"
Points150,CZK,"100,00"
Points500,CZK,"150,00"
Points2000,CZK,"220,00"
Premium7,PLN,"12,50"
Premium21,PLN,"28,50"
Premium30,PLN,"40,99"
SecondChance3,PLN,"6,00"
SecondChance7,PLN,"14,50"
SecondChance10,PLN,"16,50"
Valentine3,PLN,"12,50"
Valentine7,PLN,"20,50"
Valentine10,PLN,"24,50"
Detector3,PLN,"6,00"
Detector7,PLN,"14,50"
Detector10,PLN,"16,50"
Nullifier3,PLN,"6,00"
Nullifier7,PLN,"14,50"
Nullifier10,PLN,"16,50"
DecMini3,PLN,"6,00"
DecMini7,PLN,"14,50"
DecMini10,PLN,"16,50"
DecPlatinum3,PLN,"12,50"
DecPlatinum7,PLN,"20,50"
DecPlatinum10,PLN,"24,50"
OCP3,PLN,"14,50"
OCP7,PLN,"20,50"
OCP10,PLN,"22,50"
Points150,PLN,"9,50"
Points500,PLN,"20,50"
Points2000,PLN,"35,99"
Premium7,Points,5999
Premium21,Points,12999
Premium30,Points,20999
SecondChance3,Points,399
SecondChance7,Points,1600
SecondChance10,Points,2600
Valentine3,Points,599
Valentine7,Points,2300
Valentine10,Points,4000
Detector3,Points,399
Detector7,Points,1600
Detector10,Points,2600
Nullifier3,Points,399
Nullifier7,Points,1600
Nullifier10,Points,2600
DecMini3,Points,399
DecMini7,Points,1600
DecMini10,Points,2600
DecPlatinum3,Points,599
DecPlatinum7,Points,2300
DecPlatinum10,Points,4000
OCP3,Points,1000
OCP7,Points,4000
OCP10,Points,7000
