Name,ENG,RUS,UKR
StartMessage,"Hello! Welcome to our bot. 
Choose a language, bot will communicate with you first","Привет!
Добро пожаловать в нашего бота. Выбери язык на котором с тобой будет общаться бот","Привіт!
Ласкаво просимо до нашого бота. Вибери мову, якою з тобою буде спілкуватися бот"
NoSuchOptionMessage,There is no such option. Try again,Нет такого варианта ответа ,Немає такого варіанту відповіді
SateLanguagesMessage,Please state all languages you speak,"Пожалуйста, укажи все языки, которыми ты владеешь","Будь ласка, вкажи всі мови, якими ти володієш"
ChooseLanguageMessage,"Choose a few from above, or simply send language name to chat ",Выберит несколько из выше перечисленных языков или напишите название языка в чат,Виберіть кілька з вище перерахованих мов або напишіть назву мови в чат
LanguagesPremiumErrorMessage,"Sorry, users without premium can chose only up to {} languages","Извини, пользователи без премиума могут выбрать только до {} языков","Вибач, користувачі без преміуму можуть вибрати тільки до {} мов"
AddedMessage,Added,Добавлено,Додано
RemovedMessage,Removed,Удалено,Видалено
NoLanguagesMessage,You haven't chosen any languages !,Ты не выбрал/а ни одного языка!,Ти не вибрав/ла жодної мови!
GenderQuestionMessage,What is your gender?,Каков твой пол?,Яка твоя стать?
GenderPrefsQuestionMessage,Who are you searching for ?,Кого ты ищешь?,Кого ты шукаєш?
ChooseExistingMessage,Please choose only ones in a given list !,"Пожалуйста, выбери только те, которые есть в данном списке!","Будь ласка, вибери тільки ті, які є в цьому списку!"
CommunicationQuestionMessage,How would you like to communicate?,Как бы ты хотел общаться?,Як би ти хотів спілкуватися?
CountryQuestionMessage,Which country do you live in?,В какой стране ты живешь?,У якій країні ти живеш?
NoMatterButton,Does not matter,Не имеет значения,Не має значення
ChooseOrSkipMessage,"Choose one from above Or Press 'Does not matter' button if you want to skip location part""","Выбери одну из указанных выше или нажми кнопку ""Не имеет значения"", если ты хочешь пропустить часть, касающуюся местоположения"".","Вибери одну із зазначених вище або натисни кнопку ""Не має значення"", якщо ти хочеш пропустити частину, що стосується місця розташування""."
ChooseCountryMessage,Choose one from above. Or simply type country name to chat,Выбери одну из вышеперечисленных. Или просто введи название страны в чате,Вибери одну з перерахованих вище. Або просто введи назву країни в чаті
RestrictLocationMessage,"Gotcha. Please note, that you won't be able to choose city or location preferences until you choose the country","Обратите внимание, что ты не можешь выбрать город или местоположение, пока не выберешь страну.","Зверніть увагу, що ти не можеш вибрати місто або місце розташування, поки не вибереш країну."
LocationResetMessage,"Gotcha. Parameters: Country, City, and Location Preferences were reset","Параметры: страны, города и местоположения были сброшены.","Параметри: країни, міста та місця розташування були скинуті."
CountryErrorMessage,You haven't chosen a country !,Ты не выбрал страну!,Ти не вибрав країну!
CityErrorMessage1,You cannot choose the city because the country was not chosen. Please choose the country first,"Ты не можешь выбрать город, потому что не выбрана страна. Пожалуйста, выбери сначала страну","Ти не можеш вибрати місто, тому що не вибрано країну. Будь ласка, вибери спочатку країну"
ChooseCityMessage,Which city do you live in?,В каком городе ты живешь?,У якому місті ти живеш?
ChoosMessage,"Chose one from above, or simply type to chat",Выбери один из вышеперечисленных городов или просто введит текст для чата,Вибери одне з перерахованих вище міст або просто введи текст для чату
CityErrorMessage2,You haven't chosen a city !,Ты не выбрал/а город!,Ти не вибрав/а місто!
NameQuestionMessage,What is your name?,Как тебя зовут?,Як тебе звати?
LongNameErrorMessage,Name cannot be longer than 50 characters,Имя не может быть длиннее 50 символов,Ім'я не може бути довшим за 50 символів
EmptyNameErrorMessage,Name cannot be empty !,Имя не может быть пустым!,Ім'я не може бути порожнім!
